translated_question,subject,translated_choices,answer
"______ kimi bitcoin getdikcə daha çox yayılır və bununla əlaqəli bir sıra etik nəticələr var, məsələn, onlar ______ və daha ______. Lakin onlar həm də ______ iştirak etmək üçün istifadə olunub.",business_ethics,"['Kriptovalyutalar, Bahalı, Təhlükəsiz, Maliyyə Cinayətləri'
 'Ənənəvi valyuta, Ucuz, Təhlükəsiz deyil, Xeyriyyəçilik'
 'Kriptovalyutalar, Ucuz, Təhlükəsiz, Maliyyə cinayətləri'
 'Ənənəvi valyuta, Bahalı, Təhlükəsiz deyil, Xeyriyyəçilik']",2
"Tipik reklam tənzimləyici qurumlar, məsələn, reklamların _________ təşviq etməməli, lazımsız ________ və _____ yaratmamalı, və _______ təhqirə səbəb olmamalı olduğunu təklif edirlər.",business_ethics,"'Təhlükəli təcrübələr, İstək, Qorxu, Əhəmiyyətsiz'
'Təhlükəli təcrübələr, Narahatlıq, Qorxu, Ciddi'
'Təhlükəsiz təcrübələr, İstək, Qısqanclıq, Əhəmiyyətsiz'
'Təhlükəsiz təcrübələr, Narahatlıq, Qısqanclıq, Ciddi'",1
______ işçilərin fərdi müqavilələrə və genişmiqyaslı əmək qanunvericiliyinə əsasən öz işəgötürənlərinə qarşı öhdəlikləridir.,business_ethics,['İşçi hüquqları' 'İşçi hüquqları' 'İşəgötürənin öhdəlikləri' 'İşçinin öhdəlikləri'],3
______ işçinin işlə əlaqəli və işlə əlaqəli olmayan fəaliyyətlər arasında üstünlük verdiyi nisbətdir. Son illərdə işin intensivləşməsi və texnoloji dəyişikliklər nəticəsində bu məsələ geniş müzakirə mövzusuna çevrilmişdir.,business_ethics,'Məcburi iştirak' 'İşdən yayınma' 'İş-əyləncə balansı' 'İş-həyat balansı',3
"_______ təbii həmkarları kimi, qarşılıqlı asılı olan orqanizmlərin və onların mühitlərinin balanslı şəbəkəsindən ibarətdir və beləliklə şirkətlərin və sənayelərin bir-birinə bağlı və qarşılıqlı asılı olduğunu nəzərə alaraq davamlılıq düşüncəsinə dəyər qatır, çünki hər cür resurslar və tullantılar vardır.",business_ethics,Sənaye təchizat dövrləri,1
"_______, məsələn, bir tərəfin daha çox resurslara malik olduğu hallar, _______ qeyri-bərabər paylanması, bir tərəfin münasibətdən daha çox qazandığı hallar və vətəndaş cəmiyyəti təşkilatlarının _______ olması, biznes-vətəndaş cəmiyyəti təşkilatları əməkdaşlıqlarının məhdudiyyətləri və riskləridir.",business_ethics,"['Güclərin qeyri-bərabərliyi, Faydalar, Aldadılma'
'Güclərin qeyri-bərabərliyi, Resurslar, Əldə olunma'
'Məlumat asimmetriyaları, Faydalar, Aldadılma'
'Məlumat asimmetriyaları, Resurslar, Əldə olunma']",1
"Korporativ mənfəətin maksimallaşdırılması əsas normativ nəzəriyyələrlə birbaşa tövsiyə edilməsə də, hansı normativ nəzəriyyəyə daha çox oxşayır?",business_ethics,"'hedonist utilitarizm', 'preferensiya utilitarizmi', 'Kategorik İmperativ', 'qayğı etikası'",1
"Milton Fridmanın fikrincə, biznesin yeganə məsuliyyəti nədir?",business_ethics,"'İşin yeganə sosial məsuliyyəti səhmdarlarına qarşıdır'
'Müdirlər cəmiyyət və səhmdarların maraqlarını tarazlaşdıracaq şəkildə hərəkət etməlidirlər'
'Təşkilatların əsas məsuliyyəti öz işçilərinə qarşıdır'
'Təşkilatların əsas məsuliyyəti öz maraqlı tərəflərinə qarşıdır'",0
"______ tənzimləmə CSO-ların bizneslərlə olan ______-indən daha irəli gedir, çünki bu, həm də belə proseslərin _______-nə aiddir.",business_ethics,"['Hüquqi, Əlaqələr, Mexanizmlər' 'Mülki, Münasibətlər, Nəticələr' 'Siyasi, Əlaqələr, Nəticələr' 'Ekoloji, Münasibətlər, Mexanizmlər']",1
"_______ iş təcrübələri, zaman, məkan və tapşırıqla bağlı çevikliyi əhatə edən iş nümunələrinə aiddir.",business_ethics,Dinamik,2
