question,subject,choices,answer,translated_question,translated_choices
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,international_law,"['The coastal State' 'The flag State' 'All States enjoy such jurisdiction'
 'The International Tribunal for the Law of the Sea']",1, Hansı dövlət adətən gəmilərdə törədilən cinayətlərə görə yurisdiksiyanı həyata keçirir?," Sahil dövləti,  Bayraq dövləti,  Bütün dövlətlər belə yurisdiksiyaya malikdirlər,  Beynəlxalq Dəniz Hüququ Məhkəməsi"
What is the meaning of justiciability?,international_law,"['Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders'
 'Justiciability refers to the just nature or cause of a particular right'
 ""Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice""
 'Justiciability refers to the obligation of a State to enforce a particular Right']",0, Məhkəmə haqqı nə deməkdir?," Ədalətlilik, müvafiq hüquq sahibləri tərəfindən müəyyən bir hüququn tətbiqi imkanına aiddir.,  Ədalətlilik, müəyyən bir hüququn ədalətli təbiətinə və ya səbəbinə aiddir.,  Ədalətlilik, məhkəmələrin müəyyən hüquqların icra edilməməsinin ədalət prinsiplərinə uyğun olub olmadığını qiymətləndirməsini nəzərdə tutur.,  Ədalətlilik, dövlətin müəyyən bir hüququ tətbiq etmək öhdəliyinə aiddir."
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,international_law,"['R2P is essentially the same as humanitarian intervention'
 'R2P requires a call for assistance by the State in distress'
 'R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis'
 'R2P always involves armed force, whereas humanitarian intervention does not']",2, Qorumaq Məsuliyyəti (R2P) humanitar müdaxilədən necə fərqlənir?," R2P, əsasən humanitar müdaxilə ilə eynidir.,  R2P, zərər çəkən dövlət tərəfindən yardım çağırışı tələb edir,  R2P daha az özbaşınalıqdır, çünki bəzi BMT TŞ-nin iştirakını tələb edir və əsas məqsədi humanitar böhranın qarşısını almaqdır,  R2P həmişə silahlı qüvvəni əhatə edir, humanitar müdaxilə isə heç vaxt silahlı qüvvəni əhatə etmir."
What is the 'Lotus principle'?,international_law,"[""The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'""
 'The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes'
 'The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas'
 'The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris']",0," ""Lotus prinsipi nədir?"""," Lotus prinsipi adlanan bu prinsip ""dövlətlərin müstəqilliyinə məhdudiyyət qoyulması ehtimal edilə bilməz"" və ya, belə izah edildiyi kimi, ""məhdud olmayan hər şey beynəlxalq hüquqla icazəlidir"",  Lotus prinsipi adlanan bu prinsip, dövlətlərin məhkəməyə müraciət etmələri üçün məhkəməni seçmə azadlığına malikdir.,  Lotus prinsipi adlanan bu prinsip, dövlətlərin açıq dənizlərdə öz icra hakimiyyətlərini tətbiq etməsinin qadağan edilməməsidir.,  Lotus prinsipi adlanan bu prinsipə görə, adət hüququ dövlət praktikası və opinio juris birləşməsindən yaranır."
Which of these statements best describes the UK Constitution?,international_law,"[""The UK Constitution's only source of power is that of the sovereign""
 'The UK Constitution gives the judiciary the power to overturn acts of parliament'
 'The UK Constitution is uncodified and can be found in a number of sources'
 'The UK Constitution is based on a Bill of Rights']",2, Bu ifadələrdən hansısı İngiltərə Konstitusiyasını ən yaxşı təsvir edir?," İngiltərə Konstitusiyasının yeganə güc mənbəyi suverenlikdir,  İngiltərə Konstitusiyası məhkəmə sisteminə parlament aktlarını ləğv etmək səlahiyyəti verir,  İngiltərə Konstitusiyası kodlaşdırılmamışdır və bir sıra mənbələrdə tapıla bilər,  İngiltərə Konstitusiyası Hüquqlar Bəyannaməsi üzərində qurulub"
What is the obligation of the peaceful settlement of disputes?,international_law,"['It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible'
 'It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes'
 'It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute'
 'It is an obligation which concerns solely international courts and tribunals']",1, Mübahisələrin sülh yolu ilə həll edilməsi üçün hansı öhdəlik var?," Bu, nəticə öhdəliyidir, yəni dövlətlər öz mübahisələrini mümkün qədər tez həll etmək üçün ciddi bir öhdəliyə malikdirlər.,  Bu, davranış öhdəliyidir, yəni dövlətlər öz mübahisələrini sülh yolu ilə həll etməyə çalışmaq öhdəliyinə malikdirlər.,  Bu, beynəlxalq hüququn məcburi bir normasıdır və bütün dövlətlər hər hansı bir mübahisədə onun tətbiqini qorumaq üçün hüquqi bir marağa malikdirlər.,  Bu, yalnız beynəlxalq məhkəmələrə aid olan bir öhdəlikdir."
Which one of the following statements is false?,international_law,"['Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation'
 'Protocol 14 added a new criterion for admissibility'
 'Protocol 14 abolished the Commission of Human Rights'
 'Protocol 14 extended the judicial term of office for the European Court of Human Rights']",2, Aşağıdakı ifadələrdən hansı yanlışdır?," Protokol 14 qəbul olunma hallarını dinləyən komitəni üç hakimdən bir hakim qurumuna dəyişdirdi,  14-cü Protokolda qəbul edilmə üçün yeni bir meyar əlavə edildi,  14-cü Protokol İnsan Hüquqları Komissiyasını ləğv etdi,  14-cü Protokol Avropa İnsan Hüquqları Məhkəməsinin hakim səlahiyyət müddətini uzadıb"
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,international_law,"['Rocks are the islands that are less than 10 square miles'
 'Rocks are the islands that do not have any maritime zone'
 'Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.'
 'Rocks are the small islands that can sustain human habitation']",2," BMT Dəniz Hüququ Konvensiyasına (UNCLOS) görə hansı ""qaya""dır?"," Qayalar 10 kvadrat mildən az olan adalardır,  Qayalar dəniz zonası olmayan adalardır,  Qayalar, insan məskənini və ya öz iqtisadi həyatını davam etdirə bilməyən və 121 (3) maddəsinə görə, müstəsna iqtisadi zonaya və ya qitə şelfinə sahib olmayan adalardır.,  Qayalar insanların yaşaması üçün lazım olan kiçik adalardır."
What is the meaning of international legal personality?,international_law,"['It means that only States are considered subjects of international law'
 'It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor'
 'It means that an entity may challenge the authority of States'
 'It is a term that is meant to denote legal, as opposed, to physical persons under international law']",1, Beynəlxalq hüquqi şəxsiyyətin mənası nədir?," Bu o deməkdir ki, yalnız dövlətlər beynəlxalq hüququn subyekti hesab olunur.,  Bu, beynəlxalq hüquqa əsasən hüquq və vəzifələrə malik olmaq və bu hüquq və vəzifələri müvafiq aktyor tərəfindən və ya ona qarşı tətbiq etmək qabiliyyətinə malik olmaq deməkdir.,  Bu o deməkdir ki, bir qurum dövlətlərin səlahiyyətini,  Bu, beynəlxalq hüquq üzrə fiziki şəxslərə qarşı hüquqi şəxsləri ifadə etmək üçün nəzərdə tutulmuş bir termindir."
Which of the following is a treaty-based human rights mechanism?,international_law,"['The UN Human Rights Committee' 'The UN Human Rights Council'
 'The UN Universal Periodic Review' 'The UN special mandates']",0, Aşağıdakılardan hansı müqavilə əsaslı insan hüquqları mexanizmidir?," BMT İnsan Hüquqları Komitəsi,  BMT İnsan Hüquqları Şurası,  BMT-nin Ümumdünya Dövrü Baxışı,  BMT-nin xüsusi mandatları"
