translated_question,subject,translated_choices,answer
"Bu, reklamın necə təsir göstərdiyini izah etmək üçün istifadə olunan təsir iyerarxiyası və ya ardıcıl modeldir:",marketing,['ƏLAVƏ.' 'AIDA.' 'PESTLE.' 'SWOT.'],1
"_____________ ünsiyyət prosesində mühüm elementdir. Bu, mənbə və qəbul edən tərəf bir-birini başa düşdüyü halda uğurlu ünsiyyətin əldə olunma ehtimalının daha yüksək olduğunu qəbul edir. ",marketing,['Anlama sahəsi.' 'Şəxsi satış.' 'Səs-küy.' 'Rəy.'],0
Marketinq tarixində istehsal dövrü nə vaxt başa çatdı?,marketing,['1800-cü illərin sonlarında.' '1900-cü illərin əvvəllərində.' '1920-ci illərdə.' 'İkinci Dünya Müharibəsi bitdikdən sonra.'],2
Xidmətin məhsulu nə dərəcədə əhatə etməsi bir sıra amillərdən asılı olaraq dəyişir. Aşağıdakılardan hansı bu amillərdən biri DEYİL?,marketing,['Məhsul növü ilə əlaqəli maddilik səviyyəsi.' 'Performans-dəyər.' 'Təklif və tələbdəki dəyişikliklər.' 'Xidmətin göstərilmə tərzi.'],1
"Bir icmada müstəqil yanacaqdoldurma məntəqələrinin sahibləri gizli olaraq görüşür və qazanc əldə etməyi qorumaq üçün qiymətlərini yüksək saxlamağa razılaşırlar. Onların planı aşkar edilərsə və cinayət ittihamı irəli sürülərsə, onlar ",marketing,"['Şerman Antimonopoliya Qanunu üzrə günahkar bilinib və həbs cəzası ilə üzləşib'
 'Magnuson-Moss Zəmanət Qanunu üzrə günahkar bilinib və böyük cərimələrlə üzləşib'
 'Adamson Qanunu üzrə günahkar bilinib və həbs cəzası və cərimələrlə üzləşib'
 'günahsız bilinib, çünki pərakəndə satıcılara öz qiymət səviyyələrini müəyyən etmək icazə verilir']",0
"""Marketinq qarışığı"" termini təsvir edir:",marketing,"['Şirkətin içərisində və xaricində olan bütün ekoloji faktorların birgə təhlili.'
 'Məhsulun satışını dəstəkləyən bir sıra biznes qərarları.'
 ""Şirkətin marketinq gücləri ilə onun biznes zəiflikləri arasındakı əlaqə.""
 'Müəyyən hədəf bazarlarını məmnun etmək üçün dörd strateji elementin birləşməsi.']",3
__________ təşkilata və DMU üzvlərinə məlumatın növünü və axınını nəzarət altına almaq potensialına malikdir.,marketing,['Qapıçılar.' 'Alıcılar.' 'İstifadəçilər.' 'İlkinlər.'],0
"İstehlakçının faktiki və arzuladığı vəziyyət arasında bir uyğunsuzluq, hansı ki, boşluq və ya problemin həll edilməsinə ehtiyac olduğunu tanıması adlanır:",marketing,['Motiv inkişafı.' 'Bir münasibət.' 'Özünüdərk.' 'Məhsulun qiymətləndirilməsi.'],0
Aşağıdakılardan hansı marketinq qarışığının elementi deyil?,marketing,['Təşviqat.' 'Məhsul.' 'Hədəf bazar.' 'Qiymətləndirmə.'],2
Jurnallarda pulsuz ətir nümunələrinin təqdim edilməsi aşağıdakılardan hansına misaldır?,marketing,['Klassik şərtləndirmə.' 'Operant şərtləndirmə.' 'Sosial öyrənmə.' 'Davranış öyrənməsi.'],0
Bazar seqmentasiyası niyə həyata keçirilir?,marketing,"['Böyük bazarları kiçik bazarlara bölmək üçün.'
 'Rəqibləri üstələmək üçün imkan yaratmaq üçün.'
 'Eyni tələbatlara malik müştəriləri qruplaşdıraraq, bu müştərilərə xidmət göstərmək üçün kommersiya baxımından məqbul bir üsul təqdim edir.'
 'Daha böyük bazar payına nail olmaq üçün.']",2
"Təşkilatda üç əsas alış növü mövcuddur, Robinson, Faris və Wind (1967) tərəfindən _____________ olaraq adlandırılmışdır.",marketing,['Təkrar alışlar.' 'Alış mərhələləri.' 'Alış sinifləri.' 'Tenderlər.'],2
